IPN,Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Library Ref,Library Path,Footprint Ref,Footprint Path,Footprint Ref 2,Footprint Path 2,Footprint Ref 3,Footprint Path 3,Series,Part Status,Value,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Operating Temperature,Mounting Type,Package / Case,Size / Dimension,Thickness (Max)
CAP-KEM-GP-0402-00047,https://api.kemet.com/component-edge/download/datasheet/C0402C101K3RAC7867.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-14864-1-ND,C0402C101K3RAC7867,KEMET,CAP CER 100PF 25V X7R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X7R,Active,100pF,100pF,10%,25V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00048,https://api.kemet.com/component-edge/download/datasheet/C0402C681K5RACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-1027-1-ND,C0402C681K5RACTU,KEMET,CAP CER 680PF 50V X7R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X7R,Active,680pF,680pF,10%,50V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00049,https://api.kemet.com/component-edge/download/datasheet/C0402C271J5GAC7867.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-8961-1-ND,C0402C271J5GAC7867,KEMET,CAP CER 270PF 50V C0G/NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm C0G,Active,270pF,270pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00050,https://api.kemet.com/component-edge/download/datasheet/C0402C104K4RACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-3521-1-ND,C0402C104K4RACTU,KEMET,CAP CER 0.1UF 16V X7R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X7R,Active,0.1uF,0.1uF,10%,16V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00051,https://api.kemet.com/component-edge/download/datasheet/C0402C151J5GACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-7770-1-ND,C0402C151J5GACTU,KEMET,CAP CER 150PF 50V C0G/NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm C0G,Active,150pF,150pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00052,https://api.kemet.com/component-edge/download/datasheet/C0402C121K5GACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-8945-1-ND,C0402C121K5GACTU,KEMET,CAP CER 120PF 50V C0G/NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm C0G,Active,120pF,120pF,10%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00053,https://api.kemet.com/component-edge/download/datasheet/C0402C151J3GACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-14422-1-ND,C0402C151J3GAC7867,KEMET,CAP CER 150PF 25V NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm C0G,Active,150pF,150pF,5%,25V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00054,https://api.kemet.com/component-edge/download/datasheet/C0402C473K8RACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-4897-1-ND,C0402C473K8RACTU,KEMET,CAP CER 0.047UF 10V X7R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X7R,Active,0.047uF,0.047uF,10%,10V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00055,https://api.kemet.com/component-edge/download/datasheet/C0402C104K4PACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-7762-1-ND,C0402C104K4PACTU,KEMET,CAP CER 0.1UF 16V X5R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X5R,Active,0.1uF,0.1uF,10%,16V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00056,https://api.kemet.com/component-edge/download/datasheet/C0402C104K9PACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-3026-1-ND,C0402C104K9PACTU,KEMET,CAP CER 0.1UF 6.3V X5R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X5R,Active,0.1uF,0.1uF,10%,6.3V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00057,https://api.kemet.com/component-edge/download/datasheet/C0402C392K5RACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-3071-1-ND,C0402C392K5RACTU,KEMET,CAP CER 3900PF 50V X7R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X7R,Active,3900pF,3900pF,10%,50V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00058,https://api.kemet.com/component-edge/download/datasheet/C0402C104K8PACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-3027-1-ND,C0402C104K8PACTU,KEMET,CAP CER 0.1UF 10V X5R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X5R,Active,0.1uF,0.1uF,10%,10V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00059,https://api.kemet.com/component-edge/download/datasheet/C0402C103J3RACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-1279-1-ND,C0402C103J3RACTU,KEMET,CAP CER 10000PF 25V X7R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X7R,Active,10000pF,10000pF,5%,25V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
